id,name,state,city,county,localeCode,localeBucket,latitude,longitude,enrollment,teacherFte,studentTeacherRatio,perPupilSpending,schoolCount,sourceYear
0407080,Roosevelt Elementary District,AZ,Phoenix,Maricopa County,11,Urban,33.391668,-112.065563,8793,479.45,18.34,9727.51,19,2017-2018
0407130,Round Valley Unified District,AZ,Springerville,Apache County,33,Town,34.12479,-109.275423,1295,66.28,19.54,7993.05,4,2017-2018
0407170,Saddle Mountain Unified School District,AZ,Tonopah,Maricopa County,42,Rural,33.492511,-112.870435,1631,79.0,20.65,9021.46,3,2017-2018
0407200,Sacaton Elementary District,AZ,Sacaton,Pinal County,42,Rural,33.081692,-111.761762,531,41.0,12.95,18387.95,2,2017-2018
0407240,Safford Unified District,AZ,Safford,Graham County,33,Town,32.82871,-109.714651,2894,153.42,18.86,7853.84,7,2017-2018
0407300,Sahuarita Unified District,AZ,Sahuarita,Pima County,32,Town,31.959757,-110.981961,6321,324.0,19.51,7181.93,8,2017-2018
0407380,San Fernando Elementary District,AZ,Sasabe,Pima County,43,Rural,31.490175,-111.540884,18,1.0,18.0,18333.33,1,2017-2018
0407430,San Simon Unified District,AZ,San Simon,Cochise County,43,Rural,32.26649,-109.22319,112,9.0,12.44,16169.64,1,2017-2018
0407500,Santa Cruz Elementary District,AZ,Nogales,Santa Cruz County,41,Rural,31.387854,-110.871934,217,14.0,15.5,13663.59,1,2017-2018
0407520,Santa Cruz Valley Unified District,AZ,Rio Rico,Santa Cruz County,33,Town,31.50588,-111.014673,3226,177.84,18.14,8349.35,5,2017-2018
0407530,Santa Cruz Valley Union High School District,AZ,Eloy,Pinal County,31,Town,32.75915,-111.557231,367,15.0,24.47,12514.99,2,2017-2018
0407570,Scottsdale Unified District,AZ,Scottsdale,Maricopa County,12,Urban,33.49282,-111.918581,22494,1249.29,18.01,8066.55,31,2017-2018
0407630,Seligman Unified District,AZ,Seligman,Yavapai County,43,Rural,35.330479,-112.874609,125,9.0,13.89,19352.0,2,2017-2018
0407680,Sentinel Elementary District,AZ,Dateland,Maricopa County,43,Rural,32.85971,-113.210951,36,3.8,9.47,28055.56,1,2017-2018
0407700,Show Low Unified District,AZ,Show Low,Navajo County,41,Rural,34.257283,-110.046749,2394,120.15,19.93,7672.93,7,2017-2018
